Cohort years,group_type,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2014/15,All,all,43919.4375,181965650.80895767,330637966.01480234,4982222.582877521,18400124,584434,65098360.224672325,16900310.169128135,436603416.9914803
2015/16,All,all,43989.875,180375269.98446208,327697271.7307384,4978412.235540541,18428579,677666,68868272.4347296,18170053.092823166,438820254.4938317
2016/17,All,all,43908.9375,174959700.18814975,317827334.79919994,4958183.509341957,18140245,2357901,73735865.11200167,19669977.23212003,436689506.6526636
2017/18,All,all,44659,164975021.28743067,299670696.5486929,4935517.31153753,17385531,2496588,81863476.90694606,21417099.429598354,427768909.1967749
2018/19,All,all,45752.5625,158880041.83325994,288643491.31224734,4958558.14730471,16957004,2663539,81597778.51365969,22172098.24346292,416992469.2166746
2019/20,All,all,39881.375,141582875.80980492,257234221.1411477,4479580.593122255,15285062,2900563,79135268.99972308,21466603.48511577,380501299.2191088
2020/21,All,all,32738.125,130528410.3610632,239232731.85302705,3476607.361863496,13973948,3123224,58419131.72521489,16636955.912548602,334862598.852654
2021/22,All,all,31367.25,128174113.972015,238467663.08090985,2786894.9365563276,14268962,3167963,80410506.46047145,20434830.34544893,359536819.82338655
2022/23,All,all,32526.25,131107484.78473106,244632572.32871357,2434060.479276605,15183407,4026658,92825189.99003167,24069065.72471805,383170953.5227399
2023/24,All,all,33584.5625,136524748.27737948,250789397.90975255,2127729.622591936,16187375,5217855,89036296.41868952,24533786.904280923,387892440.85531497
2024/25,All,all,28463,114220575.7449742,182706436.0632496,1613036.2607975176,13901002,5039327,79223218.20562252,23669617.618029755,306152637.14769936
2025/26,All,all,12785.625,65350391.13282388,99166433.7445055,875739.791659948,8003075,1611324,NA,NA,109656572.53616545
2026/27,All,all,4292.75,29603768.008845516,40477728.9302571,361765.1773662868,3651159,NA,NA,NA,44490653.10762338
2027/28,All,all,788.6875,7736952.8140821215,7598779.684329769,87501.10064934038,974165,NA,NA,NA,8660445.784979109
2014/15,Age Group,Under 18,NA,NA,NA,NA,NA,NA,26567936.44615385,5430194.319389445,31998130.765543293
2015/16,Age Group,Under 18,NA,NA,NA,NA,NA,NA,28758548.215384617,6032075.5884797815,34790623.8038644
2016/17,Age Group,Under 18,NA,NA,NA,NA,NA,NA,33981557.4,7293433.573256944,41274990.973256946
2017/18,Age Group,Under 18,NA,NA,NA,NA,NA,NA,41451789.669230774,8793129.317971328,50244918.9872021
2018/19,Age Group,Under 18,NA,NA,NA,NA,NA,NA,40865985.62307692,8885644.044901276,49751629.6679782
2019/20,Age Group,Under 18,NA,NA,NA,NA,NA,NA,50923108.86923076,11359504.808644146,62282613.67787491
2020/21,Age Group,Under 18,NA,NA,NA,NA,NA,NA,34495981.961538464,8129665.531688873,42625647.49322733
2021/22,Age Group,Under 18,NA,NA,NA,NA,NA,NA,46418817.25384615,10757905.967808986,57176723.22165514
2022/23,Age Group,Under 18,NA,NA,NA,NA,NA,NA,58161973.153846145,13607484.342777884,71769457.49662402
2023/24,Age Group,Under 18,NA,NA,NA,NA,NA,NA,54991739.492307685,13517481.307409223,68509220.7997169
2024/25,Age Group,Under 18,NA,NA,NA,NA,NA,NA,57381721.54615384,15357057.651372803,72738779.19752663
2014/15,Age Group,18-19,11417.125,26758550.72995076,48237226.51979091,1132455.9247203202,3175327,151306.1680485584,10730612.12510637,2983236.271445193,66410164.00911135
2015/16,Age Group,18-19,11442.4375,26562247.133974463,47891144.773924,1141510.7145174006,3182825,175443.32752166092,11059387.25559924,3161625.3769128877,66611936.44847519
2016/17,Age Group,18-19,11516.125,25792224.09995796,46506677.957103334,1150751.2445888526,3134664,610445.2597690482,11069585.040346514,3268468.3121643285,65740591.81397208
2017/18,Age Group,18-19,11926.8125,24556300.471867103,44273966.16002723,1170938.7596220996,3031647,646350.4236167204,11294942.574516045,3417316.7499627313,63835161.66774483
2018/19,Age Group,18-19,12170.0625,23617015.68996709,42598635.34238158,1193452.4700144504,2952044,689572.9535548739,11063694.781697104,3510265.571915164,62007665.11956318
2019/20,Age Group,18-19,11131.375,22069966.163289413,39785387.967883214,1102838.6184822156,2759183,750936.928230443,9267295.847908052,2975356.7866036366,56640999.14910756
2020/21,Age Group,18-19,8230,18699290.498481993,33965195.531214714,849951.0037087027,2311499,808582.4154605838,6068253.434271112,1817355.8409405097,45820837.22559562
2021/22,Age Group,18-19,7536,17900023.373186186,33066767.834040847,693617.598792743,2272985,820165.0520839227,8571354.003885001,2286889.2849539337,47711778.773756444
2022/23,Age Group,18-19,7837,18552380.01784329,34478669.63505576,613475.7047165668,2447431,1042475.6123395836,9364115.278163107,2568319.0930507565,50514486.323325776
2023/24,Age Group,18-19,8102.8125,19246370.267098084,35217395.78699068,529186.3886142999,2618250,1350868.781561324,9398288.501613338,2659692.410141033,51773681.86892068
2024/25,Age Group,18-19,7446.3125,16321018.934079029,26386517.063806593,435439.302361409,2310001,1304649.041489095,6860053.145666852,2376711.0198667296,39673370.57319068
