Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£),group_type
2014/15,all,22776.990624153055,124272584.05687958,103925033.23529965,4130691.1549288696,3194090.534670928,404935.10392408073,15137008.941480082,3912584.214324953,317320339.2433066,all
2015/16,all,23509.173959149048,150507205.95746976,263121062.220838,4220768.073988311,2582426.5358775747,179903.57313242147,45365934.35929924,5590151.691034091,179836740.0533594,all
2016/17,all,24434.94001057241,24484991.480272565,95738835.48483944,3333065.194086085,2250331.2137428895,502498.49469087017,49678811.32643143,9215849.738180706,269652153.5992557,all
2017/18,all,11676.635002186522,61153406.61731612,149680662.18724895,3223269.4182528337,3202608.4353928217,1517545.8635043895,49605226.495231286,7644129.378438627,334705526.9101362,all
2018/19,all,13448.472855911963,33376933.33384515,196097142.5252661,2474813.308287902,10921463.893895837,295835.1068385063,30604270.309831895,11272116.193444466,342472150.49656373,all
2019/20,all,11611.199409381301,44694013.3112921,179858769.48454043,1915090.6983351463,10594890.647075547,2592455.895589571,40166081.960297495,10353988.351005258,131778699.18328731,all
2020/21,all,14762.715005743132,49273157.85982208,100719984.3988657,2966148.808586708,11603229.595785134,1118362.6597281038,34066119.80502549,11555387.704645988,247070218.89580747,all
2021/22,all,14925.285160784797,92451059.57966486,53473666.67311473,1618582.7977237925,3038157.938304065,781419.4335093253,40168896.306143284,11379994.704489822,104624886.81406336,all
2022/23,all,13705.00646898039,59620906.39687461,67485374.42733197,1313154.5548076818,5678057.535433232,3443106.170624855,27983487.808220677,18631312.518101275,69598684.86416392,all
2023/24,all,16933.60952090286,85385285.02718772,52413138.5767346,229179.8594385013,10967047.135897797,3604980.7326742485,45611375.301287286,4186628.2055001487,68542028.57586284,all
2024/25,all,15172.70754318908,65217701.999001294,141478344.44319245,896217.6802305669,11784599.45395228,3575202.159974358,55226881.20612513,6793954.661883768,227320242.78071892,all
2025/26,all,8582.13631609194,23888411.03344315,68094913.97721155,730892.2269412875,4080331.1791721643,669340.3512595788,NA,NA,58553860.396707624,all
2026/27,all,3609.1588611815127,23915918.140987657,19970073.46408712,269275.03179694153,2686477.73307217,NA,NA,NA,6689554.588309086,all
2027/28,all,245.5464633643627,1305547.9536458217,2643354.9281042838,29097.527080611886,260100.14067022596,NA,NA,NA,6992167.608363883,all
2014/15,Female,6573.257692688705,30473539.906240486,37123681.03910297,749573.9995058931,5886239.430259386,115150.01102809876,12816934.079394486,3551578.08898456,30581018.42810773,sex
2014/15,Male,15124.019978642464,57008740.951839745,26262133.576280843,552283.1689743405,1741445.0138986986,227479.50013418525,9315728.644464461,3752733.181897447,125479295.02514839,sex
2014/15,Other/trans,413.7983823657036,913308.7526581718,1518378.345221192,17964.927217631044,67197.61390546337,3490.814351950438,137168.2119990545,83516.60879780767,967585.7819960293,sex
